File,Start Line #,End Line #,Start Column #,End Column #,TarantulaRater,OchiaiRater,IntensityRater,DBB Size
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,88,88,9,10,0,0,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,93,93,13,73,0,0,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,94,94,13,34,0,0,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,99,99,13,14,0,0,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,100,100,17,103,0,0,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,101,101,13,14,0,0,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,102,102,13,27,0,0,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,103,103,9,10,0,0,1,8
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,25,25,9,58,0.5,0.3162278,9,1
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,61,61,9,10,0.9,0.7071068,1,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,63,63,13,36,0.9,0.7071068,1,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,66,66,17,38,0.9,0.7071068,1,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,67,67,9,10,0.9,0.7071068,1,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,111,111,9,10,0,0,2,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\tcas\tcas_original\tcas\Program.cs,112,112,13,58,0,0,2,3
